"year","city","race","cnt","type","percentage"
2015,"Brooklyn","White","962218","pop",36.5
2015,"Brooklyn","White","624","stops",9.9
2015,"Manhattan","Asian","206859","pop",12.6
2015,"Manhattan","Asian","81","stops",2.1
2015,"Manhattan","Black","213470","pop",13
2015,"Manhattan","Black","2170","stops",55.7
2015,"Manhattan","Hispanic","426,894","pop",26
2015,"Manhattan","Hispanic","1190","stops",30.5
2015,"Manhattan","Native American","1653","pop",0.1
2015,"Manhattan","Native American","11","stops",0.3
2015,"Manhattan","Other","5189","pop",0.2
2015,"Manhattan","Other","47","stops",1.2
2015,"Manhattan","White","790453","pop",48.1
2015,"Manhattan","White","399","stops",10.2
2015,"New York","Asian","1230462","pop",14.4
2015,"New York","Asian","1077","stops",5.2
2015,"New York","Black","1931653","pop",22.6
2015,"New York","Black","11051","stops",53.5
2015,"New York","Hispanic","2,485,125","pop",29.1
2015,"New York","Hispanic","6143","stops",29.8
2015,"New York","Native American","14184","pop",0.2
2015,"New York","Native American","73","stops",0.4
2015,"New York","Other","73215","pop",0.8
2015,"New York","Other","285","stops",1.4
2015,"New York","White","2815767","pop",32.9
2015,"New York","White","2018","stops",9.8
2015,"Queens","Asian","606711","pop",25.9
2015,"Queens","Asian","817","stops",14.4
2015,"Queens","Black","412811","pop",17.6
2015,"Queens","Black","2238","stops",39.3
2015,"Queens","Hispanic","656,031","pop",28
2015,"Queens","Hispanic","1736","stops",30.5
2015,"Queens","Native American","4209","pop",0.2
2015,"Queens","Native American","40","stops",0.7
2015,"Queens","Other","45972","pop",2.1
2015,"Queens","Other","67","stops",1.2
2015,"Queens","White","613416","pop",26.2
2015,"Queens","White","792","stops",13.9
2015,"Staten Island","Asian","39933","pop",8.4
2015,"Staten Island","Black","46075","pop",9.7
2015,"Staten Island","Hispanic","86,737","pop",18.3
2015,"Staten Island","Native American","369","pop",0.1
2015,"Staten Island","Other","1282","pop",0.2
2015,"Staten Island","White","300162","pop",63.3
